ID,Symbol,Category
btc-bitcoin,BTC,Layer 1s
eth-ethereum,ETH,Layer 1s
xrp-xrp,XRP,Payments
usdt-tether,USDT,Stablecoins
bnb-binance-coin,BNB,Exchange & CeFi Tokens
sol-solana,SOL,Layer 1s
usdc-usd-coin,USDC,Stablecoins
steth-lido-staked-ether,STETH,Liquid Staking
doge-dogecoin,DOGE,Memecoins
ada-cardano,ADA,Layer 1s
trx-tron,TRX,Payments
wsteth-wrapped-liquid-staked-ether-20,WSTETH,Liquid Staking
weth-weth,WETH,DeFi Core
hype-hyperliquid,HYPE,DeFi Core
wbtc-wrapped-bitcoin,WBTC,DeFi Core
link-chainlink,LINK,"Data, Oracles & Storage"
weeth-wrapped-eeth,WEETH,Liquid Staking
sui-sui,SUI,Layer 1s
bch-bitcoin-cash,BCH,Payments
xlm-stellar,XLM,Payments
okb-okb,OKB,Exchange & CeFi Tokens
avax-avalanche,AVAX,Layer 1s
hbar-hedera-hashgraph,HBAR,Layer 1s
leo-leo-token,LEO,Exchange & CeFi Tokens
ltc-litecoin,LTC,Payments
btcb-binance-bitcoin,BTCB,DeFi Core
toncoin-the-open-network,TON,Layer 1s
usds-usds,USDS,Stablecoins
shib-shiba-inu,SHIB,Memecoins
cro-cryptocom-chain,CRO,Exchange & CeFi Tokens
wbt-whitebit,WBT,Exchange & CeFi Tokens
dot-polkadot,DOT,Layer 1s
bgb-bitget-token,BGB,Exchange & CeFi Tokens
uni-uniswap,UNI,DeFi Core
usde-ethena-usde,USDE,Stablecoins
cbbtc-coinbase-wrapped-btc,CBBTC,DeFi Core
xmr-monero,XMR,Layer 1s
susde-ethena-staked-usde,SUSDE,Stablecoins
ena-ethena,ENA,DeFi Core
aave-new,AAVE,DeFi Core
wlfi-official-world-liberty-financial,WLFI,Layer 1s
pepe-pepe,PEPE,Memecoins
mnt-mantle,MNT,Layer 2s & Scaling
dai-dai,DAI,Stablecoins
etc-ethereum-classic,ETC,Layer 1s
tao-bittensor,TAO,"Data, Oracles & Storage"
apt-aptos,APT,Layer 1s
ondo-ondo,ONDO,RWA & Tokenization
susds-susds,sUSDS,DeFi Core
near-near-protocol,NEAR,Layer 1s
m-memecore,M,Memecoins
pi2-pi-network,PI,Layer 1s
eth-ethereum-token,WETH,DeFi Core
arb-arbitrum,ARB,Layer 2s & Scaling
icp-internet-computer,ICP,Layer 1s
jitosol-jito-staked-sol,JITOSOL,Liquid Staking
pol-polygon-ecosystem-token,POL,Layer 2s & Scaling
ip-story,IP,DeFi Core
kas-kaspa,KAS,Payments
reth-rocket-pool-eth,RETH,Liquid Staking
usd1-usd1,USD1,Stablecoins
vet-vechain,VET,Layer 1s
algo-algorand,ALGO,Layer 1s
rseth-rseth,RSETH,Liquid Staking
gt-gatechain-token,GT,Exchange & CeFi Tokens
ftn-fasttoken,FTN,DeFi Core
jlp-jupiter-perpetuals-liquidity-provider-token,JLP,DeFi Core
pengu-pudgy-penguins,PENGU,"Consumer (e.g. Gaming, NFTs)"
kcs-kucoin-token,KCS,Exchange & CeFi Tokens
rndr-render-token,RENDER,DeFi Core
wld-worldcoin,WLD,"Data, Oracles & Storage"
meth-meth,METH,DeFi Core
sei-sei,SEI,Layer 1s
atom-cosmos,ATOM,Layer 1s
sky-sky,SKY,DeFi Core
bfusd-bfusd,BFUSD,DeFi Core
trump-official-trump,TRUMP,Memecoins
pump-pumpfun,PUMP,DeFi Core
lseth-liquid-staked-ethereum,LSETH,Liquid Staking
fetch-ai,FET,"Data, Oracles & Storage"
fil-filecoin,FIL,"Data, Oracles & Storage"
bnsol-binance-staked-sol,BNSOL,Liquid Staking
bonk-bonk,BONK,Memecoins
lbtc-lombard-staked-btc,LBTC,Liquid Staking
jup-jupiter-exchange-token,JUP,DeFi Core
flr-flare-network,FLR,Layer 1s
usdtb-usdtb,USDTB,Stablecoins
fdusd-first-digital-usd,FDUSD,Stablecoins
form-four,FORM,DeFi Core
ezeth-renzo-restaked-eth,EZETH,Liquid Staking
wbnb-wrapped-bnb,WBNB,DeFi Core
op-optimism,OP,Layer 2s & Scaling
jupsol-jupiter-staked-sol,JUPSOL,Liquid Staking
inj-injective-protocol,INJ,DeFi Core
qnt-quant,QNT,"Data, Oracles & Storage"
lend-ethlend,LEND,DeFi Core
usdf-falcon-finance,USDF,Stablecoins
solvbtc-solv-protocol-solvbtc,SOLVBTC,DeFi Core
stx-stacks,STX,Layer 2s & Scaling
aero-aerodrome-finance,AERO,DeFi Core
ldo-lido-dao,LDO,DeFi Core
spx-spx6900,SPX,Memecoins
msol-marinade-staked-sol,MSOL,Liquid Staking
tia-celestia,TIA,"Data, Oracles & Storage"
xdc-xdc-network,XDC,Payments
stsol-lido-staked-sol,STSOL,Liquid Staking
s-sonic,S,Layer 1s
usd0-usual-usd,USD0,Stablecoins
